"","Año","Area","Street"
"1",2011,"Birmingham","Alcester Road Mosley"
"2",2011,"Birmingham","adderly street"
"3",2011,"Birmingham","alcester raod mosley"
"4",2011,"Birmingham","Marrowfat Road Handsworth"
"5",2011,"Birmingham","alcester road moseley"
"6",2011,"Birmingham","alfred street"
"7",2011,"Birmingham","all service club mosley"
"8",2011,"Birmingham","alum rock road"
"9",2011,"Birmingham","arcadian centre"
"10",2011,"Birmingham","arden road saltley"
"11",2011,"Birmingham","asda chemsley wood"
"12",2011,"Birmingham","balsahll heath park j/w brighton road"
"13",2011,"Birmingham","bamford road"
"14",2011,"Birmingham","beechbrook avenue sparkhill"
"15",2011,"Birmingham","belchers lane"
"16",2011,"Birmingham","belchers lane bordesley green"
"17",2011,"Birmingham","bell street"
"18",2011,"Birmingham","berkley rd east   haymills"
"19",2011,"Birmingham","birmingham airport"
"20",2011,"Birmingham","birmingham international railway station"
"21",2011,"Birmingham","bordesley green"
"22",2011,"Birmingham","bordesley green   bordesley green"
"23",2011,"Birmingham","bristol road"
"24",2011,"Birmingham","bristol street"
"25",2011,"Birmingham","broad street"
"26",2011,"Birmingham","broad street birmingham"
"27",2011,"Birmingham","buckland end lane shard end"
"28",2011,"Birmingham","bulls head ph st marys row"
"29",2011,"Birmingham","bushbury road kitts green"
"30",2011,"Birmingham","chartice road"
"31",2011,"Birmingham","chestnut road"
"32",2011,"Birmingham","church rd stechford"
"33",2011,"Birmingham","church road sheldon"
"34",2011,"Birmingham","clifford rd dorridge"
"35",2011,"Birmingham","clock lane"
"36",2011,"Birmingham","colonial road bordesley green`"
"37",2011,"Birmingham","corporation stbirmingham"
"38",2011,"Birmingham","corporation street"
"39",2011,"Birmingham","coventry rd small heath"
"40",2011,"Birmingham","coventry rd small heath bham"
"41",2011,"Birmingham","coventry road"
"42",2011,"Birmingham","coventry road small heath"
"43",2011,"Birmingham","coventry roadsmall heath"
"44",2011,"Birmingham","cranes park road"
"45",2011,"Birmingham","cranes park road sheldon"
"46",2011,"Birmingham","crossfield road"
"47",2011,"Birmingham","crossfields road kitts green"
"48",2011,"Birmingham","cxhurch rd stechford bham"
"49",2011,"Birmingham","digbeth high street"
"50",2011,"Birmingham","edgbaston road"
"51",2011,"Birmingham","edward road. moseley"
"52",2011,"Birmingham","fighting cox ph"
"53",2011,"Birmingham","foremans road sparkhill"
"54",2011,"Birmingham","front office kings heath"
"55",2011,"Birmingham","garretts green road garretts green"
"56",2011,"Birmingham","giles close"
"57",2011,"Birmingham","giles close stechford"
"58",2011,"Birmingham","glazedale road"
"59",2011,"Birmingham","gospel farm road"
"60",2011,"Birmingham","gospel lane"
"61",2011,"Birmingham","gospel lane acocks green"
"62",2011,"Birmingham","grace church sutton coldfield"
"63",2011,"Birmingham","great hampton street"
"64",2011,"Birmingham","green lane"
"65",2011,"Birmingham","greswell lane shard end"
"66",2011,"Birmingham","harlequin drive mosley"
"67",2011,"Birmingham","haslucks green road"
"68",2011,"Birmingham","hazeldean road"
"69",2011,"Birmingham","heartlands hospital"
"70",2011,"Birmingham","heartlands hospital a & e"
"71",2011,"Birmingham","hepben grove"
"72",2011,"Birmingham","herrick road"
"73",2011,"Birmingham","herrick road washwood heath"
"74",2011,"Birmingham","high st solihull"
"75",2011,"Birmingham","high street kings heath"
"76",2011,"Birmingham","hob moor road at starbank road"
"77",2011,"Birmingham","holloway head bham city centre"
"78",2011,"Birmingham","hollywell road"
"79",2011,"Birmingham","home address"
"80",2011,"Birmingham","homer street"
"81",2011,"Birmingham","hunters moon public house"
"82",2011,"Birmingham","hurst street"
"83",2011,"Birmingham","hurst street birmingham"
"84",2011,"Birmingham","kings heath high street"
"85",2011,"Birmingham","knowle rd small heath bham"
"86",2011,"Birmingham","ladypool road"
"87",2011,"Birmingham","ladywell walk"
"88",2011,"Birmingham","lea hall rd"
"89",2011,"Birmingham","lea village stechford"
"90",2011,"Birmingham","lenches close mosley"
"91",2011,"Birmingham","lime tree road"
"92",2011,"Birmingham","lode lane @ hermitage road"
"93",2011,"Birmingham","long street"
"94",2011,"Birmingham","long street. sparkhill"
"95",2011,"Birmingham","longbridge lane"
"96",2011,"Birmingham","longmeadow crescent shard end  bham"
"97",2011,"Birmingham","maccadown lane"
"98",2011,"Birmingham","masshouse lane"
"99",2011,"Birmingham","meadwaym stechford"
"100",2011,"Birmingham","mickleover road bromford"
"101",2011,"Birmingham","moorcroft road"
"102",2011,"Birmingham","moseley road"
"103",2011,"Birmingham","moseley village"
"104",2011,"Birmingham","moseley village alcester road"
"105",2011,"Birmingham","mosley all services club church road moseley"
"106",2011,"Birmingham","nearlands close quinton"
"107",2011,"Birmingham","new street"
"108",2011,"Birmingham","northfield high street"
"109",2011,"Birmingham","o/s behans highfield road billesley"
"110",2011,"Birmingham","o/s the junction mosley village"
"111",2011,"Birmingham","o/s washwood heath road"
"112",2011,"Birmingham","oakhill road acocks green"
"113",2011,"Birmingham","opp white hart lane cooks lane"
"114",2011,"Birmingham","opposite aldi stratford road"
"115",2011,"Birmingham","outside java lounge alcester road"
"116",2011,"Birmingham","outside o2 academy night club b'ham city centre"
"117",2011,"Birmingham","outside raven public house"
"118",2011,"Birmingham","packington avenue shard end"
"119",2011,"Birmingham","park off hob moor road"
"120",2011,"Birmingham","parkhall croft"
"121",2011,"Birmingham","pear tree ph"
"122",2011,"Birmingham","police station"
"123",2011,"Birmingham","police station stechford"
"124",2011,"Birmingham","poplar road"
"125",2011,"Birmingham","poplar road  solihull"
"126",2011,"Birmingham","poplar road solihull"
"127",2011,"Birmingham","preston road"
"128",2011,"Birmingham","priory road hall green"
"129",2011,"Birmingham","prospect road"
"130",2011,"Birmingham","queenswood road"
"131",2011,"Birmingham","rear of boots high street"
"132",2011,"Birmingham","reddings lane tsyley"
"133",2011,"Birmingham","richmond primary care centre richmond road stechford"
"134",2011,"Birmingham","ring road stourbridge"
"135",2011,"Birmingham","sainsburys wawrick road"
"136",2011,"Birmingham","sainsburys. alcester road south"
"137",2011,"Birmingham","sandford road moseley"
"138",2011,"Birmingham","sarehole mill"
"139",2011,"Birmingham","sedgemere road"
"140",2011,"Birmingham","shirley road"
"141",2011,"Birmingham","snow hill"
"142",2011,"Birmingham","solihull lane"
"143",2011,"Birmingham","st mary's road moseley"
"144",2011,"Birmingham","st marys row"
"145",2011,"Birmingham","station road"
"146",2011,"Birmingham","station way birmingham international rail station"
"147",2011,"Birmingham","stechford front office"
"148",2011,"Birmingham","stechford p.s"
"149",2011,"Birmingham","stechford retail park"
"150",2011,"Birmingham","stonehenge croft druids heath"
"151",2011,"Birmingham","stoney lane"
"152",2011,"Birmingham","stratford heath spark hill birmingham"
"153",2011,"Birmingham","stratford road"
"154",2011,"Birmingham","stratford road hall green"
"155",2011,"Birmingham","stratford roads"
"156",2011,"Birmingham","stuart road stechford"
"157",2011,"Birmingham","talbort street"
"158",2011,"Birmingham","taunton road"
"159",2011,"Birmingham","tavistock road"
"160",2011,"Birmingham","the avenue"
"161",2011,"Birmingham","the paer tree pub"
"162",2011,"Birmingham","trafalger road"
"163",2011,"Birmingham","wake green road"
"164",2011,"Birmingham","ward end road"
"165",2011,"Birmingham","warwick road"
"166",2011,"Birmingham","warwick road tysley"
"167",2011,"Birmingham","wash lane"
"168",2011,"Birmingham","washford heath road"
"169",2011,"Birmingham","washwood heath pub"
"170",2011,"Birmingham","washwood heath rd washwood heath bham"
"171",2011,"Birmingham","washwood heath road"
"172",2011,"Birmingham","watery lane middleway birmingham"
"173",2011,"Birmingham","wawrick road"
"174",2011,"Birmingham","welshfarm road quinton"
"175",2011,"Birmingham","westley road"
"176",2011,"Birmingham","westley road acocks green"
"177",2011,"Birmingham","white hart public house"
"178",2011,"Birmingham","whiteheart pub gressell lane"
"179",2011,"Birmingham","william hill bookmakers washwood heath road"
"180",2011,"Birmingham","william hill washwood heath road"
"181",2011,"Birmingham","windward road"
"182",2011,"Birmingham","wood end road erdington"
"183",2011,"Birmingham","woodbridge road moseley"
"184",2011,"Birmingham","wright street"
"185",2011,"Birmingham","yardley green road"
"186",2011,"Birmingham","yardley road acocks green"
"187",2011,"Birmingham","yardley wood road"
"188",2011,"Birmingham","yew tree car park"
"189",2011,"Birmingham","yew tree lane"
"190",2011,"Birmingham","yew tree public house car park"
"191",2011,"Birmingham","armada pub slade road erdington birmingham"
"192",2011,"Birmingham","armarda pub  gravelly hill"
"193",2011,"Birmingham","armarda pub gravelly hill"
"194",2011,"Birmingham","badgers bank road"
"195",2011,"Birmingham","baldmoor lake road erdington birmingham"
"196",2011,"Birmingham","bandywood rd kingstanding"
"197",2011,"Birmingham","beckenham road"
"198",2011,"Birmingham","beeches walk"
"199",2011,"Birmingham","birmingham rd"
"200",2011,"Birmingham","birmingham rd sc"
"201",2011,"Birmingham","birmingham road"
"202",2011,"Birmingham","birmingham road sutton"
"203",2011,"Birmingham","birmingham road erdington"
"204",2011,"Birmingham","birmingham road sutton coldfield"
"205",2011,"Birmingham","bowling green close"
"206",2011,"Birmingham","bracebridge road erdington"
"207",2011,"Birmingham","brassington avenue"
"208",2011,"Birmingham","bromford lane"
"209",2011,"Birmingham","bromford lane erdington b'ham"
"210",2011,"Birmingham","brookvale park road"
"211",2011,"Birmingham","carhampton road falcon lodge sutton colfield"
"212",2011,"Birmingham","carshalton road"
"213",2011,"Birmingham","carshorlton road"
"214",2011,"Birmingham","chester rd"
"215",2011,"Birmingham","chester road"
"216",2011,"Birmingham","chester road halls garden centre"
"217",2011,"Birmingham","church rd at chester rd"
"218",2011,"Birmingham","college road kingstanding b'ham"
"219",2011,"Birmingham","copshill court mount view sutton coldfield"
"220",2011,"Birmingham","dovedale road erdington b'ham"
"221",2011,"Birmingham","downside road erdington b'ham"
"222",2011,"Birmingham","eachelhurt road erdington"
"223",2011,"Birmingham","erdington hall road"
"224",2011,"Birmingham","erdington high street"
"225",2011,"Birmingham","fentham road erdington b'ham"
"226",2011,"Birmingham","finchley road"
"227",2011,"Birmingham","finchley road kingstanding b'ham"
"228",2011,"Birmingham","george frederick road"
"229",2011,"Birmingham","golden pond take away û boldmere road"
"230",2011,"Birmingham","good hope hospital"
"231",2011,"Birmingham","gracechurch centre"
"232",2011,"Birmingham","gracechurch centre outside supercigs"
"233",2011,"Birmingham","gracechurch shopping centre sutton coldfield"
"234",2011,"Birmingham","grassed area  pype hayes park"
"235",2011,"Birmingham","gravelley lane"
"236",2011,"Birmingham","gravelly lane erdington birmingham"
"237",2011,"Birmingham","hairy lemon pub .sutton coldfield"
"238",2011,"Birmingham","hermatige road"
"239",2011,"Birmingham","hermitage drive"
"240",2011,"Birmingham","high street"
"241",2011,"Birmingham","high street erdington"
"242",2011,"Birmingham","high street s/c"
"243",2011,"Birmingham","hight st erdington"
"244",2011,"Birmingham","hunton hill"
"245",2011,"Birmingham","kfc retail outlet  erdington high street"
"246",2011,"Birmingham","kingsbury road erdington b'ham"
"247",2011,"Birmingham","kingstanding circle"
"248",2011,"Birmingham","ladywell walk birmingham"
"249",2011,"Birmingham","landsdown road"
"250",2011,"Birmingham","lichfield road mere green"
"251",2011,"Birmingham","lichfield road sutton coldfield"
"252",2011,"Birmingham","lindridge road sutton coldfield"
